# Generated at 2024-10-15 11:16:11 (04:00) by AQUARIUS Time-Series 24.1.177.0,,,,,
# UTC-05,,,,,
# Period Selected: Entire Record,,,,,
#,,,,,
# Comment: ,,,,,
# Description: ,,,,,
# ReportTitle: LCCD Little Conestoga Sonde Data May 2023 - July 2024,,,,,
#,,,,,
# CSV data starts at line 12,,,,,
#,,,,,
TimeStamp,Dissolved Oxygen (mg/l),Water Temperature (C),Specific Conductivity (uS/cm),pH,Total Dissolved Solids (mg/l)
5/5/2023 12:04,9.09,12.238,751.9,8.01,489
5/5/2023 12:19,9.2,12.254,751.5,8.01,488
5/5/2023 12:34,9.33,12.278,751.7,8.02,489
5/5/2023 12:49,9.47,12.306,751.8,8.03,489
5/5/2023 13:04,9.61,12.34,751.8,8.04,489
5/5/2023 13:19,9.76,12.376,752.2,8.04,489
5/5/2023 13:34,9.89,12.412,751.9,8.05,489
5/5/2023 13:49,10.01,12.489,753.1,8.06,489
5/5/2023 14:04,10.12,12.607,752.8,8.06,489
5/5/2023 14:19,10.23,12.712,751.7,8.07,489
5/5/2023 14:34,10.35,12.791,750.9,8.08,488
5/5/2023 14:49,10.47,12.849,750.5,8.09,488
5/5/2023 15:04,10.63,12.989,750.1,8.1,488
5/5/2023 15:19,10.76,13.138,750,8.1,487
5/5/2023 15:34,10.88,13.29,750.4,8.11,488
5/5/2023 15:49,10.91,13.276,750.4,8.12,488
5/5/2023 16:04,11.04,13.433,750.6,8.12,488
5/5/2023 16:19,11.17,13.575,750.3,8.13,488
5/5/2023 16:34,11.22,13.624,751.4,8.14,488
5/5/2023 16:49,11.31,13.704,751.5,8.15,489
5/5/2023 17:04,11.37,13.825,751.8,8.15,489
5/5/2023 17:19,11.49,14.014,751.5,8.16,488
5/5/2023 17:34,11.64,14.359,750.7,8.16,488
5/5/2023 17:49,11.76,14.556,750.3,8.17,488
5/5/2023 18:04,11.73,14.548,749.6,8.18,487
5/5/2023 18:19,11.69,14.525,749.4,8.18,487
5/5/2023 18:34,11.69,14.621,749.1,8.18,487
5/5/2023 18:49,11.72,14.681,749.1,8.19,487
5/5/2023 19:04,11.78,14.722,748.1,8.2,486
5/5/2023 19:19,11.81,14.823,747.7,8.2,486
5/5/2023 19:34,11.85,14.889,747.7,8.2,486
5/5/2023 19:49,11.85,14.912,747.9,8.21,486
5/5/2023 20:04,11.82,14.926,747.8,8.21,486
5/5/2023 20:19,11.76,14.991,748.5,8.21,487
5/5/2023 20:34,11.73,15.103,749,8.21,487
5/5/2023 20:49,11.72,15.232,748.9,8.22,487
5/5/2023 21:04,11.69,15.323,747.9,8.22,486
5/5/2023 21:19,11.6,15.338,747.4,8.22,486
5/5/2023 21:34,11.5,15.364,747.2,8.22,486
5/5/2023 21:49,11.35,15.345,746.8,8.21,485
5/5/2023 22:04,11.22,15.33,746.2,8.21,485
5/5/2023 22:19,11.06,15.297,745.6,8.21,485
5/5/2023 22:34,10.9,15.26,745.4,8.2,485
5/5/2023 22:49,10.71,15.23,744.8,8.2,484
5/5/2023 23:04,10.51,15.203,744.5,8.19,484
5/5/2023 23:19,10.29,15.165,744.8,8.18,484
5/5/2023 23:34,10.07,15.132,745.5,8.17,485
5/5/2023 23:49,9.87,15.103,746.2,8.16,485
5/6/2023 0:04,9.68,15.077,746.6,8.14,485
5/6/2023 0:19,9.5,15.053,746.1,8.13,485
5/6/2023 0:34,9.35,15.028,746.3,8.12,485
5/6/2023 0:49,9.21,15.004,746.7,8.11,485
5/6/2023 1:04,9.1,14.975,747.5,8.1,486
5/6/2023 1:19,9.01,14.955,747.1,8.1,486
5/6/2023 1:34,8.93,14.919,746.7,8.09,485
5/6/2023 1:49,8.86,14.89,746.4,8.08,485
5/6/2023 2:04,8.8,14.861,745.3,8.08,484
5/6/2023 2:19,8.74,14.818,746,8.07,485
5/6/2023 2:34,8.68,14.769,745.7,8.06,485
5/6/2023 2:49,8.62,14.722,746.2,8.06,485
5/6/2023 3:04,8.57,14.675,745.1,8.05,484
5/6/2023 3:19,8.53,14.627,744,8.05,484
5/6/2023 3:34,8.49,14.584,743.6,8.04,483
5/6/2023 3:49,8.46,14.548,743.1,8.04,483
5/6/2023 4:04,8.44,14.521,742.3,8.04,482
5/6/2023 4:19,8.41,14.484,742.2,8.03,482
5/6/2023 4:34,8.39,14.439,741.9,8.03,482
